#,Season,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
1,2020,Todd Frazier,TEX,121,8.3%,21.5%,0.38,.241,.322,.380,.702,.139,3.9,.300,-0.4,0.5,-0.2,-0.3,14,-1.0,.310,95
2,2020,Albert Pujols,LAA,163,5.5%,15.3%,0.36,.224,.270,.395,.665,.171,1.0,.230,0.0,-0.2,-0.3,-0.1,15,-5.1,.282,74
3,2020,Wilson Ramos,NYM,155,6.5%,20.0%,0.32,.239,.297,.387,.684,.148,0.8,.271,-1.7,-0.4,-0.8,-0.1,16,-2.9,.297,90
4,2020,Miguel Cabrera,DET,231,10.4%,22.1%,0.47,.250,.329,.417,.746,.167,2.5,.283,-2.5,0.4,-2.6,0.0,30,0.6,.323,105
5,2020,David Peralta,ARI,218,6.0%,20.6%,0.29,.300,.339,.433,.773,.133,3.1,.361,-0.2,0.2,-0.5,0.0,30,2.5,.333,106
6,2020,Edwin Encarnación,CHW,181,8.8%,29.8%,0.30,.157,.250,.377,.627,.220,1.3,.156,-0.1,0.2,-0.9,-0.1,15,-7.3,.272,68
7,2020,Carlos Santana,CLE,255,18.4%,16.9%,1.09,.199,.349,.350,.699,.150,1.5,.212,-0.5,-0.2,0.1,-0.2,31,-0.8,.316,99
8,2020,Nelson Cruz,MIN,214,11.7%,27.1%,0.43,.303,.397,.595,.992,.292,1.2,.360,0.4,-0.9,-1.0,-0.2,43,16.6,.411,166
9,2020,Roberto Pérez,CLE,110,10.0%,34.5%,0.29,.165,.264,.216,.480,.052,0.7,.259,-1.4,0.0,-1.0,-0.1,5,-8.5,.228,39
10,2020,Tommy Pham,SDP,125,12.0%,21.6%,0.56,.211,.312,.312,.624,.101,5.1,.253,0.0,0.2,0.1,1.1,12,-3.8,.284,79
11,2020,Shin-Soo Choo,TEX,127,10.2%,26.0%,0.39,.236,.323,.400,.723,.164,4.2,.284,0.2,0.2,0.3,0.2,15,-0.8,.312,96
