id,Season,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,2020,Jose Iglesias,BAL,39,142,150,53,33,17,0,3,16,24,3,0,17,4,1,0,1,0,0,.373
2,2020,DJ LeMahieu,NYY,50,195,216,71,49,10,2,10,41,27,18,0,21,2,1,0,3,3,0,.364
3,2025,Miguel Andujar,CIN,34,103,110,37,26,7,0,4,14,17,6,0,19,1,0,0,3,0,0,.359
4,2023,Luis Arraez,MIA,147,574,617,203,160,30,3,10,71,69,35,10,34,4,3,1,18,3,2,.354
5,2020,Juan Soto,WSN,47,154,196,54,27,14,0,13,39,37,41,12,28,1,0,0,1,6,2,.351
6,2020,Willi Castro,DET,36,129,140,45,33,4,2,6,21,24,7,0,38,1,2,1,0,0,1,.349
7,2024,Alex Call,WSN,30,99,113,34,22,9,0,3,15,14,12,0,19,2,0,0,2,5,1,.343
8,2021,Frank Schwindel,CHC,56,222,239,76,43,19,1,13,42,40,16,2,36,1,0,0,4,2,1,.342
9,2020,Freddie Freeman,ATL,60,214,262,73,36,23,1,13,51,53,45,7,37,3,0,0,6,2,0,.341
10,2020,Nick Madrigal,CHW,29,103,109,35,32,3,0,0,8,11,4,0,7,2,0,0,5,2,1,.340
11,2021,Luis Robert Jr.,CHW,68,275,296,93,57,22,1,13,42,43,14,1,61,5,2,0,4,6,1,.338
12,2021,Trea Turner,LAD,52,207,226,70,43,17,0,10,41,28,15,2,33,2,2,0,5,11,2,.338
13,2020,Marcell Ozuna,ATL,60,228,267,77,45,14,0,18,38,56,38,3,60,0,1,0,3,0,0,.338
14,2020,Alec Bohm,PHI,44,160,180,54,39,11,0,4,24,23,16,0,36,2,2,0,4,1,1,.338
15,2023,Ronald Acuña Jr.,ATL,159,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,.337
16,2024,Jose Iglesias,NYM,85,270,291,91,70,16,1,4,39,26,12,1,39,8,1,0,4,6,2,.337
17,2022,Reese McGuire,BOS,36,98,108,33,24,5,1,3,13,12,6,0,23,1,1,1,4,1,0,.337
18,2020,Trea Turner,WSN,59,233,259,78,47,15,4,12,46,41,22,0,36,2,2,0,5,12,4,.335
19,2020,Salvador Perez,KCR,37,150,156,50,27,12,0,11,22,32,3,0,36,2,1,0,0,1,0,.333
20,2020,Ryan Mountcastle,BAL,35,126,140,42,32,5,0,5,12,23,11,0,30,1,2,0,2,0,1,.333
21,2021,Mike Trout,LAA,36,117,146,39,22,8,1,8,23,18,27,5,41,2,0,0,0,2,0,.333
22,2025,Joey Loperfido,TOR,41,96,104,32,24,4,0,4,12,14,4,0,27,3,0,1,2,1,2,.333
23,2024,Bobby Witt Jr.,KCR,161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,.332
24,2023,Freddie Freeman,LAD,161,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,.331
25,2025,Aaron Judge,NYY,152,541,679,179,94,30,2,53,137,114,124,36,160,7,7,0,16,12,5,.331
26,2023,Yandy Díaz,TBR,137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,.330
27,2024,Xavier Edwards,MIA,70,265,303,87,69,12,5,1,39,26,33,1,52,0,4,1,0,31,4,.328
28,2024,Victor Robles,SEA,77,229,262,75,51,20,0,4,41,26,16,0,44,10,2,5,2,30,1,.328
29,2023,Corey Seager,TEX,119,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,.327
30,2022,Jeff McNeil,NYM,148,533,589,174,125,39,1,9,73,62,40,1,61,11,5,0,6,4,0,.326
31,2020,Donovan Solano,SFG,54,190,203,62,43,15,1,3,22,29,10,0,39,2,1,0,2,0,0,.326
32,2022,Freddie Freeman,LAD,159,612,708,199,129,47,2,21,117,100,84,12,102,5,7,0,6,13,3,.325
33,2022,Joey Meneses,WSN,56,222,240,72,45,14,0,13,33,34,15,2,52,1,2,0,13,1,0,.324
34,2021,Adam Frazier,PIT,98,386,428,125,89,28,4,4,58,32,35,1,46,6,1,0,6,5,4,.324
