"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2020,"AJ Pollock","LAD",55,196,54,29,9,0,16,30,34,12,1,45,0,2,0,6,2,2,210,0.057,0.214,0.27,0.276,0.314,0.566,0.881,0.291,2.6,0.277,-0.7,-0.7,-0.4,-0.6,34,7.8,0.364,130,0.297
2021,"AJ Pollock","LAD",117,384,114,65,27,1,21,53,69,30,4,80,6,2,0,4,9,1,422,0.071,0.19,0.38,0.297,0.355,0.536,0.892,0.24,4.4,0.326,-1,0.6,-0.1,1,72,21.1,0.375,137,0.245
2022,"AJ Pollock","CHW",138,489,120,79,26,1,14,61,56,32,0,98,2,4,0,13,3,1,527,0.061,0.186,0.33,0.245,0.292,0.389,0.681,0.143,3.5,0.278,-0.9,-0.3,-2.1,-0.3,55,-5.2,0.297,92,0.173
2020,"Aaron Judge","NYY",28,101,26,14,3,0,9,23,22,10,0,32,2,0,0,5,0,1,114,0.088,0.281,0.31,0.257,0.336,0.554,0.891,0.297,3.2,0.283,1,-0.3,0.4,-0.5,20,5.3,0.375,140,0.287
2021,"Aaron Judge","NYY",148,550,158,95,24,0,39,89,98,75,2,158,3,5,0,16,6,1,633,0.118,0.25,0.47,0.287,0.373,0.544,0.916,0.256,2.9,0.332,-0.4,0.1,-0.1,0.2,115,38,0.387,150,0.311
2022,"Aaron Judge","NYY",157,570,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,696,0.159,0.251,0.63,0.311,0.425,0.686,1.111,0.375,4,0.34,0.4,0.5,-0.2,1.2,162,82.1,0.458,206,0.267
2023,"Aaron Judge","NYY",106,367,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,458,0.192,0.284,0.68,0.267,0.406,0.613,1.019,0.346,2.6,0.3,0.3,1.5,-1.6,-0.8,95,38.8,0.42,173,0.322
2020,"Adalberto Mondesi","KCR",59,219,56,36,11,3,6,33,22,11,0,70,1,0,2,4,24,8,233,0.047,0.3,0.16,0.256,0.294,0.416,0.71,0.16,8.5,0.35,2,0.4,1.7,1.2,26,-3,0.305,88,0.23
2020,"Adam Duvall","ATL",57,190,45,21,8,0,16,34,33,15,0,54,3,1,0,2,0,0,209,0.072,0.258,0.28,0.237,0.301,0.532,0.833,0.295,2.1,0.24,0.2,0.5,1,-0.1,31,5,0.348,115,0.229
2021,"Adam Duvall","MIA",91,314,72,39,10,1,22,41,68,21,0,105,1,3,0,4,5,0,339,0.062,0.31,0.2,0.229,0.277,0.478,0.755,0.248,4.6,0.263,-1.3,0.3,-1.2,0.8,42,0.9,0.318,97,0.226
